Title,Code,Genre,Nation,Director,Actor,Movie Code
"미안해요, 리키",185275,['드라마'],"['영국', '프랑스', '벨기에']",['켄 로치'],"['크리스 히친', '데비 허니우드']",
언더독,144318,['애니메이션'],['한국'],"['오성윤', '이춘백']","['디오', '박소담', '박철민']",
코코,151728,"['애니메이션', '모험', '코미디']",['미국'],['리 언크리치'],"['안소니 곤잘레스', '가엘 가르시아 베르날', '벤자민 브랫']",
늑대와 춤을,10244,"['서부', '드라마', '모험']","['미국', '영국']",['케빈 코스트너'],['케빈 코스트너'],
폴란드로 간 아이들,178434,"['다큐멘터리', '드라마']",['한국'],['추상미'],"['이송', '추상미']",
코러스,39584,['드라마'],"['프랑스', '스위스', '독일']",['크리스토퍼 파라티에'],"['제라르 쥐노', '프랑수와 벨레앙', '장 밥티스트 모니에']",
모던 타임즈,10249,['코미디'],['미국'],['찰리 채플린'],"['찰리 채플린', '파울레트 고다드']",
에이 아이,31268,"['SF', '드라마', '판타지']",['미국'],['스티븐 스필버그'],"['할리 조엘 오스먼트', '주드 로', '프란시스 오코너']",
프리 윌리,16466,"['가족', '모험', '드라마']",['미국'],['사이먼 윈서'],"['케이코', '제이슨 제임스 리처', '로리 페티']",
번 더 스테이지: 더 무비,176354,[],[],['박준수'],"['RM', '진', '슈가']",
소울,184517,['애니메이션'],['미국'],['피트 닥터'],"['제이미 폭스', '티나 페이', '다비드 딕스']",
폴리스 스토리,10746,"['액션', '코미디']",['홍콩'],['성룡'],['성룡'],
우리들의 일그러진 영웅,12297,['드라마'],['한국'],['박종원'],"['홍경인', '고정일', '최민식']",
뷰티풀 투모로우,169561,['드라마'],['한국'],['장재혁'],"['박효신', '정재일']",
라따뚜이,65021,"['코미디', '가족', '모험', '애니메이션']",['미국'],['브래드 버드'],"['패튼 오스왈트', '루 로마노']",
다이 하드,10012,"['액션', '스릴러', '범죄']",['미국'],['존 맥티어난'],['브루스 윌리스'],
바이센테니얼 맨,28788,"['SF', '드라마']",['미국'],['크리스 콜럼버스'],['로빈 윌리엄스'],
록키,10021,"['드라마', '액션']",['미국'],['존 G. 아빌드센'],['실베스터 스탤론'],
타잔,25266,"['애니메이션', '가족', '모험']",['미국'],"['케빈 리마', '크리스 벅']","['토니 골드윈', '미니 드라이버']",
몬스터 주식회사 3D,32112,"['애니메이션', '가족', '모험', '판타지', '코미디']",['미국'],"['피트 닥터', '데이빗 실버맨', '리 언크리치']","['존 굿맨', '빌리 크리스탈', '메리 깁스']",
바람계곡의 나우시카,18052,"['애니메이션', 'SF']",['일본'],"['미야자키 하야오', '코마츠바라 카즈오']","['시마모토 스미', '츠지무라 마히토', '쿄다 히사코']",
엽기적인 그녀,31726,"['코미디', '드라마', '멜로/로맨스']",['한국'],['곽재용'],"['전지현', '차태현']",
반지의 제왕: 반지 원정대,31794,"['판타지', '모험', '액션']","['뉴질랜드', '미국']",['피터 잭슨'],"['일라이저 우드', '이안 맥켈런', '리브 타일러']",
라이온 킹,16521,"['애니메이션', '모험', '드라마', '가족']",['미국'],"['로저 알러스', '롭 민코프']","['조나단 테일러 토마스', '매튜 브로데릭', '제임스 얼 존스']",
교회오빠,183132,['다큐멘터리'],['한국'],['이호경'],"['이관희', '오은주', '이소연']",
허스토리,167787,['드라마'],['한국'],['민규동'],"['김희애', '김해숙']",
오페라의 유령 : 25주년 특별 공연,89752,['공연실황'],['영국'],"['캐머런 맥킨토시', '로렌스 코너', '질리안 린']","['시에라 보게스', '라민 카림루', '하들리 프레이저']",
일급 살인,17869,"['드라마', '범죄']",['미국'],['마크 로코'],"['크리스찬 슬레이터', '케빈 베이컨', '게리 올드만']",
8월의 크리스마스,18817,"['드라마', '멜로/로맨스']",['한국'],['허진호'],"['한석규', '심은하']",
내 이름은 칸,70651,['드라마'],['인도'],['카란 조하르'],"['샤룩 칸', '까졸']",
시월애,30306,"['드라마', '멜로/로맨스', '판타지']",['한국'],['이현승'],"['이정재', '전지현']",
"나, 다니엘 블레이크",150376,['드라마'],"['영국', '프랑스', '벨기에']",['켄 로치'],"['데이브 존스', '헤일리 스콰이어']",
천녀유혼,10670,"['판타지', '공포', '멜로/로맨스', '액션']",['홍콩'],['정소동'],"['장국영', '왕조현']",
동방불패,11104,"['액션', '드라마']",['홍콩'],"['정소동', '당계례']","['이연걸', '임청하']",
뽀로로 극장판 보물섬 대모험,183136,['애니메이션'],['한국'],"['김현호', '윤창섭']","['이선', '이미자', '김현지']",
영웅: 샐러멘더의 비밀,51708,['액션'],"['러시아 연방', '미국', '한국']","['알렉산드르 야킴추크', '엘레나 코발레바']","['김보성', '표도르 예멜리야넨코']",
자백,146534,['다큐멘터리'],['한국'],['최승호'],"['최승호', '김기춘', '원세훈']",
보디가드,17111,['액션'],['홍콩'],['원규'],"['이연걸', '종려시']",
12번째 솔저,172980,['전쟁'],['노르웨이'],['해럴드 즈워트'],"['토마스 갈라스타드', '조나단 리스 마이어스']",
퀸 락 몬트리올,54900,['다큐멘터리'],['영국'],['솔 스위머'],"['존 디콘', '브라이언 메이', '프레디 머큐리']",
취권 2,16216,"['액션', '코미디']",['홍콩'],['유가량'],['성룡'],
극장판 귀멸의 칼날: 무한열차편,196051,['애니메이션'],['일본'],['소토자키 하루오'],"['하나에 나츠키', '키토 아카리']",
플립,76309,"['멜로/로맨스', '드라마']",['미국'],['로브 라이너'],"['매들린 캐롤', '캘런 맥오리피']",
천국의 아이들,29571,"['드라마', '코미디']",['이란'],['마지드 마지디'],"['레자 나지', '아미르 파로크 하스미얀', '바하레 세디키']",
인생,16531,['드라마'],"['중국', '대만']",['장이머우'],"['공리', '갈우']",
세상에서 가장 아름다운 이별,79762,"['드라마', '가족']",['한국'],['민규동'],"['배종옥', '김갑수', '김지영']",
명탐정 코난: 베이커가의 망령,38613,['애니메이션'],['일본'],['코다마 켄지'],"['타카야마 미나미', '야마자키 와카나']",
빌리 엘리어트 뮤지컬 라이브,125724,['공연실황'],['영국'],['스티븐 달드리'],"['엘리엇 한나', '루시에 헨쉘', '데카 웜슬리']",
